train/n_updates,time/total_timesteps,train/actor_loss,train/learning_rate,train/reward,time/episodes,time/fps,time/time_elapsed,train/critic_loss
4003,4104,4.222113609313965,0.001,-0.28506696,4,102,39,7.7772369384765625
8107,8208,1.4748462438583374,0.001,-0.28506696,8,100,81,1.8804905414581299
12211,12312,-0.2185591459274292,0.001,-0.28506696,12,99,124,0.4026803970336914
16315,16416,-1.2056223154067993,0.001,-0.28506696,16,99,165,0.3446617126464844
20419,20520,-2.788435935974121,0.001,-0.28506696,20,100,203,0.33007878065109253
24523,24624,-2.347496747970581,0.001,-0.28506696,24,102,240,0.18401649594306946
28627,28728,-5.623477458953857,0.001,-0.28506696,28,102,279,0.21656817197799683
32731,32832,-5.052672863006592,0.001,-0.28506696,32,102,320,0.197997584939003
36835,36936,-6.005415439605713,0.001,-0.28506696,36,103,357,0.07907594740390778
40939,41040,-6.3380279541015625,0.001,-0.28506696,40,103,397,0.12697213888168335
45043,45144,-6.862857341766357,0.001,-0.28506696,44,103,436,0.2420225292444229
49147,49248,-6.2508087158203125,0.001,-0.28506696,48,103,473,0.07844088971614838
