time/iterations,time/total_timesteps,train/reward,time/fps,time/time_elapsed,train/loss,train/approx_kl,train/std,train/policy_gradient_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/entropy_loss,train/learning_rate,train/clip_range,train/value_loss
1,2048,-0.120602906,1104,1,,,,,,,,,,,
2,4096,0.5373078,1014,4,12.748920440673828,0.0067539355,1.002809762954712,-0.011168594844639302,0.04873046875,-0.018508195877075195,10,-7.103740033507347,0.00025,0.2,24.7826730966568
3,6144,0.93827206,987,6,9.554253578186035,0.0055387756,1.003817081451416,-0.011712398767122068,0.0423828125,0.026908040046691895,20,-7.111336487531662,0.00025,0.2,32.854075121879575
4,8192,0.1026285,995,8,8.156676292419434,0.006324809,1.003357172012329,-0.011038573061523494,0.04794921875,0.05088198184967041,30,-7.113845849037171,0.00025,0.2,21.593940097093583
5,10240,0.873971,976,10,5.069445610046387,0.009020394,1.004164457321167,-0.01529637587373145,0.093212890625,0.13922995328903198,40,-7.113868540525436,0.00025,0.2,8.496967276930809
6,12288,0.018882904,978,12,60.2944450378418,0.0058093434,1.0055087804794312,-0.011557717240066268,0.049560546875,0.07115006446838379,50,-7.119748163223266,0.00025,0.2,64.88089584112167
7,14336,0.5221126,973,14,6.1038360595703125,0.005781916,1.0070728063583374,-0.00946915423264727,0.0439453125,0.26247692108154297,60,-7.126408123970032,0.00025,0.2,12.86436177790165
8,16384,0.0,969,16,12.458264350891113,0.0069890497,1.0082706212997437,-0.010268337279558181,0.050830078125,0.21291321516036987,70,-7.1324706137180325,0.00025,0.2,28.541684514284135
9,18432,-0.085159704,907,20,14.203766822814941,0.008101441,1.0105448961257935,-0.011554901587078347,0.0556640625,0.2635607123374939,80,-7.141090732812882,0.00025,0.2,21.512544590234757
10,20480,0.27965778,910,22,3.8821144104003906,0.008307711,1.0097739696502686,-0.011653227984788827,0.060888671875,0.3704960346221924,90,-7.14457428753376,0.00025,0.2,10.163037070631981
11,22528,-0.32354292,913,24,3.2093217372894287,0.010538678,1.0102888345718384,-0.011626485505257734,0.096875,0.4211748242378235,100,-7.145655634999275,0.00025,0.2,5.78582874238491
12,24576,0.13641621,916,26,8.824991226196289,0.008804033,1.0137659311294556,-0.008028168539749459,0.092138671875,0.23028326034545898,110,-7.157872998714447,0.00025,0.2,26.63666487336159
13,26624,0.46823832,919,28,93.92296600341797,0.005173236,1.015834927558899,-0.009180931601440534,0.029736328125,0.0790511965751648,120,-7.169263190031051,0.00025,0.2,217.85445798039436
14,28672,0.80712223,922,31,23.02394676208496,0.0058041164,1.0169721841812134,-0.01033606887795031,0.035107421875,0.2035941481590271,130,-7.175434303283692,0.00025,0.2,79.13336849212646
15,30720,1.3749076,919,33,15.04921817779541,0.007176482,1.016221046447754,-0.010602513313642703,0.049169921875,0.262751042842865,140,-7.177544915676117,0.00025,0.2,44.973608231544496
16,32768,0.062319804,921,35,34.843448638916016,0.0072586746,1.0164835453033447,-0.012530862995481585,0.058544921875,0.27553194761276245,150,-7.176265445351601,0.00025,0.2,59.28310747146607
17,34816,-1.4165236,922,37,137.4478302001953,0.008523874,1.0161105394363403,-0.014238394828862511,0.071826171875,0.26782798767089844,160,-7.175238832831383,0.00025,0.2,84.36037919521331
18,36864,0.09781745,925,39,20.14581298828125,0.0053354036,1.0156933069229126,-0.007637096045073122,0.0310546875,0.34353458881378174,170,-7.173503658175468,0.00025,0.2,66.03928878307343
19,38912,1.1380806,925,42,35.508670806884766,0.0068003144,1.013985514640808,-0.011962070004665292,0.04853515625,0.331352174282074,180,-7.1692117780447004,0.00025,0.2,61.78254600763321
20,40960,-0.6163631,926,44,22.782974243164062,0.008029345,1.0141651630401611,-0.010556116225779988,0.055517578125,0.34412944316864014,190,-7.164076596498489,0.00025,0.2,43.27442211508751
21,43008,0.49698824,924,46,32.297821044921875,0.004763094,1.0137786865234375,-0.009681688022101297,0.044677734375,0.2782183289527893,200,-7.16452567577362,0.00025,0.2,77.89405005574227
22,45056,-0.95663047,924,48,15.944188117980957,0.00754795,1.0118930339813232,-0.012422219046857207,0.0625,0.35061830282211304,210,-7.159860581159592,0.00025,0.2,52.24380708932877
