train/n_updates,time/total_timesteps,train/actor_loss,train/learning_rate,train/reward,time/episodes,time/fps,time/time_elapsed,train/critic_loss
4003,4104,13.468779563903809,0.001,-0.46693662,4,161,25,108.25263214111328
8107,8208,12.889193534851074,0.001,-0.46693662,8,157,52,5.693124294281006
12211,12312,11.819165229797363,0.001,-0.46693662,12,157,78,9.921778678894043
16315,16416,10.690774917602539,0.001,-0.46693662,16,157,104,1.7770264148712158
20419,20520,10.519174575805664,0.001,-0.46693662,20,157,130,6.702471733093262
24523,24624,10.939859390258789,0.001,-0.46693662,24,157,156,3.7197256088256836
28627,28728,12.773240089416504,0.001,-0.46693662,28,157,182,0.32861506938934326
32731,32832,12.509571075439453,0.001,-0.46693662,32,157,208,3.605973482131958
36835,36936,9.731130599975586,0.001,-0.46693662,36,157,234,0.41882604360580444
40939,41040,7.131979465484619,0.001,-0.46693662,40,157,260,0.9743040800094604
45043,45144,11.081711769104004,0.001,-0.46693662,44,157,286,0.8307747840881348
49147,49248,8.471444129943848,0.001,-0.46693662,48,158,311,0.7218055725097656
