time/iterations,train/reward,time/total_timesteps,time/fps,time/time_elapsed,train/clip_fraction,train/entropy_loss,train/value_loss,train/n_updates,train/learning_rate,train/clip_range,train/loss,train/std,train/explained_variance,train/policy_gradient_loss,train/approx_kl
1,0.21418776,2048,2638,0,,,,,,,,,,,
2,0.2855802,4096,2357,1,0.01943359375,-1.4187090590596199,16.481370928883553,10,0.00025,0.2,4.5438385009765625,0.9964478611946106,-0.04423701763153076,-0.0016778038068878231,0.004454638
3,-0.06886354,6144,2285,2,0.0009765625,-1.4109490044414996,28.09027111530304,20,0.00025,0.2,12.121820449829102,0.9866665601730347,0.02573341131210327,-0.0009239873324986547,0.0011824064
4,-1.7613991,8192,2276,3,0.000244140625,-1.4066691875457764,24.837799608707428,30,0.00025,0.2,9.351729393005371,0.9881464838981628,0.04224449396133423,-0.0007931830725283362,0.0007217262
5,0.08318288,10240,2231,4,0.0306640625,-1.4065390087664127,15.627137514948846,40,0.00025,0.2,4.4342427253723145,0.9874303340911865,0.08280718326568604,-0.0010993139600032008,0.0041613407
6,-0.0,12288,2199,5,0.027734375,-1.4076313443481923,19.332792691513895,50,0.00025,0.2,14.0957670211792,0.9889785051345825,0.06417262554168701,-0.0011926680424949154,0.004800466
7,2.2790082,14336,2193,6,0.0,-1.4086460269987584,54.197325468063354,60,0.00025,0.2,28.385541915893555,0.9909276366233826,0.08188068866729736,-0.0003198164980858564,0.00080184406
8,-0.87710613,16384,2189,7,0.0,-1.409883053600788,14.376542428135872,70,0.00025,0.2,5.300884246826172,0.9907364249229431,0.2169046401977539,-0.0001539839111501351,0.00011790119
9,-1.8194863,18432,2194,8,0.0,-1.4103714838624,31.397662353515624,80,0.00025,0.2,24.10045051574707,0.9925772547721863,0.16258776187896729,-0.0006154529022751376,0.000829407
10,-0.06308258,20480,2201,9,0.0,-1.4113848447799682,16.128329598903655,90,0.00025,0.2,13.519750595092773,0.992139458656311,0.18868380784988403,-0.00039702873618807644,0.00027793448
11,0.63054305,22528,2203,10,0.0,-1.4110366851091385,44.77417588233948,100,0.00025,0.2,40.663055419921875,0.9922349452972412,0.13093304634094238,-8.905814029276371e-05,2.6800553e-05
12,-0.28230911,24576,2193,11,0.0,-1.4111968368291854,26.844304198026656,110,0.00025,0.2,8.271354675292969,0.9921906590461731,0.16521507501602173,-0.0004363728716270998,0.00025153277
13,4.59255,26624,2184,12,0.00244140625,-1.4112683303654194,29.396264100074767,120,0.00025,0.2,17.248512268066406,0.9925093650817871,0.1698700189590454,-0.001047944716992788,0.0016127818
14,-1.1583157,28672,2189,13,0.0,-1.4115321800112723,36.069678926467894,130,0.00025,0.2,16.28617286682129,0.9928798079490662,0.15784978866577148,-0.00039464160363422707,0.00028930727
15,-0.17675762,30720,2195,13,0.011083984375,-1.4130450889468193,19.41469625234604,140,0.00025,0.2,6.431196689605713,0.9949505925178528,0.13979846239089966,-0.0016351749771274626,0.003054448
16,0.19936064,32768,2198,14,0.000341796875,-1.4140262067317964,24.83274876475334,150,0.00025,0.2,12.993699073791504,0.9953822493553162,0.22796088457107544,-0.0010724501131335273,0.00087584887
17,-0.031306177,34816,2200,15,0.000146484375,-1.4138302937150002,29.22647951245308,160,0.00025,0.2,24.62116050720215,0.9944479465484619,0.2301923632621765,-0.0004975391697371378,0.00021187318
